cty_code,cty_lon,cty_lat
13125,1235744.84322222,1216081.3767124629
13127,1367640.687955428,1010377.266468409
13129,1011124.8997865503,1330497.241900937
13131,1119108.1159392442,935886.0446076243
13133,1179506.2610381052,1247674.0823687075
13135,1095790.9537476778,1279833.4390600044
13137,1130813.8363264243,1359813.283136563
13139,1109269.4954759802,1321573.1597593562
13141,1199326.3427989525,1215610.0693242275
13143,989762.9223064083,1248224.101162019
13145,1031072.0999353706,1134100.553724953
13147,1186197.6937035064,1335682.4981042077
13149,1003653.807486726,1193914.7488626766
13151,1090975.820014981,1221950.6219693243
13153,1150017.108390124,1117668.585550556
13155,1198914.3174891933,1027862.7034108668
13157,1134887.4890815192,1304286.6932316748
13159,1135638.4691037557,1212274.8336558356
13161,1255580.935175493,1058539.921871513
13163,1256167.685780524,1199314.6950619365
13165,1302224.771640539,1176479.8007328555
13167,1239460.7974929612,1157122.9288201777
13169,1151585.691028806,1181573.4557257462
13171,1097557.9791696365,1180409.2084708142
13173,1227436.6781854827,968348.9687429437
13175,1218900.256397725,1127448.8973188142
13177,1115401.5018251769,1036907.2143214742
13179,1361780.3773425044,1076752.4552411558
13181,1241427.5761579922,1280560.5449994472
13183,1339621.4152126769,1064867.9541894875
13185,1211132.1612867236,943237.8229000286
13187,1089106.0174870468,1347780.561898526
13189,1243600.0670992904,1245797.4712560575
13191,1375551.7505128277,1041376.8999085975
13193,1116532.1491225378,1102061.9320158071
13195,1167400.883211267,1307940.0221918821
13197,1071810.6745920512,1095948.120176541
13199,1047489.1938984795,1170240.878143348
13201,1068313.7105066618,962127.9815324856
13205,1118057.9444241936,975063.0026966544
13207,1118758.8299224635,1176068.187099229
13209,1259342.4746645899,1100462.7378743452
13211,1149568.189558404,1245013.550652629
13213,1018903.2181709466,1363507.257216535
13215,1037015.6482341887,1109393.5687392205
13217,1117368.8953535405,1236781.3611530275
13219,1151026.8995053885,1272723.0453886655
13221,1182778.1221710644,1282158.9512289143
13223,1019504.3602988189,1265875.9581320644
13225,1133558.1197783009,1127880.5095270341
13227,1048754.792641445,1330611.9649842968
13229,1302367.8016369545,1015014.6510834402
13231,1074343.899536635,1179303.8808375045
13233,989218.4532643912,1271512.6655593284
13235,1170986.4255966358,1094934.4320836545
13237,1164469.035422938,1216684.594069043
13239,1032110.1851704548,1036700.4209614954
