cz_code,cz_lon,cz_lat
625,-700081.9965265302,2061331.858285813
626,-565411.3543027529,1804631.3789042186
627,-438866.52839102637,1209861.9935521025
628,316428.37856361247,1419548.8195618866
629,370151.5879560509,1794040.580078572
630,1843729.9082870826,2405952.0658129468
631,-1218664.8552538336,2946871.911038156
632,-264742.8463224795,1054843.67433143
633,-957534.0377158567,1769214.9837747312
634,-431023.4012929227,1309772.2520440975
635,-2052664.2095797546,2203725.355277328
636,-551801.2226010252,2186837.2582685347
637,-2093154.539917478,2395753.3740050653
640,-1876157.3086734442,2878809.8177399756
641,-2292385.260574869,2144189.725629745
642,-291282.2318336565,2260113.387859226
643,-236793.99512063526,1793133.45032186
644,-417992.4324791205,1133370.2710576346
646,-446132.9983798021,2346356.7639013138
647,-1150195.3134027713,1100505.0959852182
648,-487151.90215433994,1852890.8184905993
650,-497839.9416926087,1758221.0394273866
651,-709588.1317772884,2155428.5731580635
652,-213804.84594386016,1577443.3371294949
653,-406846.94354015455,1873182.6655958958
654,-1426553.308840687,2535089.4613418533
655,-779213.0103289468,1137589.7830096984
656,-747917.9687696329,1337051.604866687
657,-1703530.4022788093,2636257.523541794
658,-1714899.2241510889,1259289.8111220156
659,-2181764.1985524544,2567581.0134398164
661,-666859.197049039,2892330.2407338605
662,-2154451.996539465,2771577.798015815
663,-895236.1355468751,2108188.4507908374
664,-660466.6636971914,2562226.61484685
665,-1135484.0187001715,1279628.3618276983
666,-685800.2749961311,2259508.7100096014
669,-1020248.66843749,2294961.3508951347
670,1190782.6276399563,852382.5726058402
671,239590.7363419727,1793767.316364677
672,-503423.37502287765,1678049.2589728753
673,-1639795.2078999595,2693608.6884937696
674,-752585.0033709378,2527772.13785057
675,-125875.3612634637,2487609.19207858
676,-802568.1976268158,2113087.989838571
677,-1066417.036433647,1846996.3643887388
678,1077762.1959405406,818897.3135681668
680,-374836.43038388685,2339164.402802193
681,-169717.82587394206,2720225.4697793885
682,1093274.6463720824,1436063.8950895027
683,166151.7636472221,2807087.1327963783
684,-311225.2290938724,2459381.3516254253
685,-834564.1109618942,2746682.76398328
686,-1320787.0511743037,2577988.3933396265
687,-338320.81179481134,1723528.680205521
689,2075845.4526783577,2931053.26285098
690,-144820.86183955634,710252.2920436381
691,-853385.382661489,1943937.9656001534
693,-575447.628887859,1606387.0590106195
694,-1807661.7391111574,2608827.0395585354
695,-1842688.2628713162,2453095.893369417
697,-876014.8615384516,1793551.4281909354
698,-1437932.6670612663,2985108.383280464
699,-1961635.6255414793,2452381.649552724
700,-1983994.985723476,3125277.878919821
703,-890703.1729883384,2862287.00677349
704,2127970.6754256403,2322923.0592533033
705,2078444.7612057726,2322356.287045373
902,-1909553.2688008505,1316242.5747351486
903,-2028692.12616828,1609035.0450715048
